bin,count,percentage
0,0,0.00
1-10,1745,24.89
11-20,97,1.38
21-30,47,0.67
31-40,45,0.64
41-50,83,1.18
51-60,55,0.78
61-70,50,0.71
71-80,55,0.78
81-90,56,0.80
91-100,61,0.87
101-999,1346,19.20
1000-9999,1145,16.33
>10000,2227,31.76
