bin,count,percentage
0,0,0.00
1-10,4918,8.96
11-20,602,1.10
21-30,261,0.48
31-40,180,0.33
41-50,363,0.66
51-60,217,0.40
61-70,270,0.49
71-80,330,0.60
81-90,384,0.70
91-100,262,0.48
101-999,6142,11.19
1000-9999,7288,13.28
>10000,33671,61.34
