bin,count,percentage
0,0,0.00
1-10,642,26.58
11-20,38,1.57
21-30,35,1.45
31-40,26,1.08
41-50,36,1.49
51-60,23,0.95
61-70,25,1.04
71-80,21,0.87
81-90,30,1.24
91-100,19,0.79
101-999,491,20.33
1000-9999,434,17.97
>10000,595,24.64
