bin,mysql,mongodb,clang,gcc,postgres
0,0.00,0.00,0.00,0.00,0.00
1-10,24.89,25.31,21.74,17.85,26.58
11-20,1.38,2.91,2.50,2.34,1.57
21-30,0.67,0.92,1.71,1.03,1.45
31-40,0.64,0.70,1.58,1.13,1.08
41-50,1.18,0.94,1.52,1.65,1.49
51-60,0.78,0.98,1.32,1.13,0.95
61-70,0.71,1.10,0.79,1.03,1.04
71-80,0.78,0.98,0.99,0.89,0.87
81-90,0.80,1.80,1.05,1.48,1.24
91-100,0.87,0.97,1.45,1.62,0.79
101-999,19.20,24.84,26.88,27.30,20.33
1000-9999,16.33,12.09,17.13,18.05,17.97
>10000,31.76,26.45,21.34,24.48,24.64
