bin,count,percentage
0,0,0.00
1-10,773,10.87
11-20,160,2.25
21-30,81,1.14
31-40,108,1.52
41-50,69,0.97
51-60,79,1.11
61-70,66,0.93
71-80,64,0.90
81-90,70,0.98
91-100,59,0.83
101-999,1072,15.08
1000-9999,1260,17.72
>10000,3250,45.70
