bin,count,percentage
0,0,0.00
1-10,3676,8.62
11-20,420,0.99
21-30,274,0.64
31-40,231,0.54
41-50,323,0.76
51-60,256,0.60
61-70,226,0.53
71-80,278,0.65
81-90,264,0.62
91-100,243,0.57
101-999,5024,11.78
1000-9999,6337,14.86
>10000,25081,58.83
