bin,count,percentage
0,0,0.00
1-10,519,17.85
11-20,68,2.34
21-30,30,1.03
31-40,33,1.13
41-50,48,1.65
51-60,33,1.13
61-70,30,1.03
71-80,26,0.89
81-90,43,1.48
91-100,47,1.62
101-999,794,27.30
1000-9999,525,18.05
>10000,712,24.48
