bin,mysql,mongodb,clang,gcc,postgres
0,0.00,0.00,0.00,0.00,0.00
1-10,8.62,8.96,10.87,5.64,8.44
11-20,0.99,1.10,2.25,0.98,0.99
21-30,0.64,0.48,1.14,0.86,0.70
31-40,0.54,0.33,1.52,0.57,0.63
41-50,0.76,0.66,0.97,0.66,0.64
51-60,0.60,0.40,1.11,0.64,0.59
61-70,0.53,0.49,0.93,0.55,0.61
71-80,0.65,0.60,0.90,0.90,0.58
81-90,0.62,0.70,0.98,0.69,0.67
91-100,0.57,0.48,0.83,0.41,0.54
101-999,11.78,11.19,15.08,11.69,11.10
1000-9999,14.86,13.28,17.72,13.54,13.99
>10000,58.83,61.34,45.70,62.87,60.53
