bin,count,percentage
0,0,0.00
1-10,1322,8.44
11-20,155,0.99
21-30,109,0.70
31-40,98,0.63
41-50,100,0.64
51-60,93,0.59
61-70,95,0.61
71-80,91,0.58
81-90,105,0.67
91-100,85,0.54
101-999,1739,11.10
1000-9999,2193,13.99
>10000,9487,60.53
